"profile","scenario","scope","fixture_sha256","source_sha256","cache_policy","output_state","diagnostic_mode","sample_ms","lld_threads","collector_sha256","post_exit_grace_ms","linker","metric","attempts","failures","q75","min","p95","n","q25","sd","mean","max","median"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","lld","write_bytes","3","0","18262","18262",,"3","18262","0","18262","18262","18262"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","lld","tree_page_faults","3","0","1352865","1352432",,"3","1352489,5","404,5001030078155","1352720,6666666667","1353183","1352547"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","lld","exe_bytes","3","0","173348864","173348864",,"3","173348864","0","173348864","173348864","173348864"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","lld","pdb_bytes","3","0","870604800","870604800",,"3","870604800","0","870604800","870604800","870604800"
"dev","preparation","cargo",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,,,"lld","wall_s","2","2",,,,"0",,,,,
"dev","preparation","cargo",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,,,"lld","tree_cpu_s","2","2",,,,"0",,,,,
"dev","preparation","cargo",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,,,"lld","peak_tree_commit_bytes","2","2",,,,"0",,,,,
"dev","preparation","cargo",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,,,"lld","observed_peak_working_set_bytes","2","2",,,,"0",,,,,
"dev","preparation","cargo",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,,,"lld","read_bytes","2","2",,,,"0",,,,,
"dev","preparation","cargo",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,,,"lld","write_bytes","2","2",,,,"0",,,,,
"dev","preparation","cargo",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,,,"lld","tree_page_faults","2","2",,,,"0",,,,,
"dev","preparation","cargo",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,,,"lld","exe_bytes","2","2",,,,"0",,,,,
"dev","preparation","cargo",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,,,"lld","pdb_bytes","2","2",,,,"0",,,,,
"dev","replay","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","msvc","wall_s","11","0","5,71258775","5,5863685",,"11","5,631981","0,05362592745013301","5,668239909090909","5,7362919","5,683184"
"dev","replay","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","msvc","tree_cpu_s","11","0","13,484375","12,40625",,"11","12,875","0,4671516309581057","13,194602272727273","13,921875","13,09375"
"dev","replay","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","msvc","peak_tree_commit_bytes","11","0","3029536768","3018780672",,"11","3021312000","5133240,306686124","3025670516,3636365","3033124864","3026882560"
"dev","replay","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","msvc","observed_peak_working_set_bytes","11","0","5458417664","5407682560",,"11","5418819584","27357043,489372242","5440959208,727273","5484916736","5441232896"
"dev","replay","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","msvc","read_bytes","11","0","3184525522","3184524650",,"11","3184525522","262,9178924718098","3184525442,7272725","3184525522","3184525522"
"dev","replay","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","msvc","write_bytes","11","0","775104240","775089755",,"11","775090004","13137,080375791267","775097773","775118941","775090105"
"dev","replay","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","msvc","tree_page_faults","11","0","1932037,5","1904707",,"11","1914444,5","13704,943749013944","1922134,8181818181","1949209","1916943"
"dev","replay","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","msvc","exe_bytes","11","0","173351424","173351424",,"11","173351424","0","173351424","173351424","173351424"
"dev","replay","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","msvc","pdb_bytes","11","0","778440704","778432512",,"11","778436608","3826,4780103427183","778438469,8181819","778440704","778440704"
"dev","replay","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","lld","wall_s","11","0","4,53304075","4,4665747",,"11","4,502279","0,025807945684237384","4,511897363636364","4,5429582","4,5079417"
"dev","replay","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","lld","tree_cpu_s","11","0","14,53125","12,75",,"11","13,578125","0,7257471904010376","14,015625","14,984375","14,125"
"dev","replay","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","lld","peak_tree_commit_bytes","11","0","1573148672","1566990336",,"11","1570598912","2149537,1490024715","1571674670,5454545","1574625280","1571872768"
"dev","replay","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","lld","observed_peak_working_set_bytes","11","0","4950263808","4944859136",,"11","4948062208","1796412,7359159873","4948907845,818182","4951322624","4949209088"
"dev","replay","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","lld","read_bytes","11","0","298198","298198",,"11","298198","0","298198","298198","298198"
"dev","replay","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","lld","write_bytes","11","0","18262","18262",,"11","18262","0","18262","18262","18262"
"dev","replay","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","lld","tree_page_faults","11","0","1353260,5","1352070",,"11","1352807","411,48935698155174","1352961,9090909092","1353455","1352971"
"dev","replay","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","lld","exe_bytes","11","0","173348864","173348864",,"11","173348864","0","173348864","173348864","173348864"
"dev","replay","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","lld","pdb_bytes","11","0","870604800","870604800",,"11","870604800","0","870604800","870604800","870604800"
"shipping-release","preparation","cargo",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,"914e490657920fadfb7089b77c6946ede51a7a1881a94901eb74b6c134ee435b","10","lld","wall_s","1","0","788,7858049","788,7858049",,"1","788,7858049",,"788,7858049","788,7858049","788,7858049"
"shipping-release","preparation","cargo",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,"914e490657920fadfb7089b77c6946ede51a7a1881a94901eb74b6c134ee435b","10","lld","tree_cpu_s","1","0","2384,90625","2384,90625",,"1","2384,90625",,"2384,90625","2384,90625","2384,90625"
"shipping-release","preparation","cargo",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,"914e490657920fadfb7089b77c6946ede51a7a1881a94901eb74b6c134ee435b","10","lld","peak_tree_commit_bytes","1","0","14651736064","14651736064",,"1","14651736064",,"14651736064","14651736064","14651736064"
"shipping-release","preparation","cargo",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,"914e490657920fadfb7089b77c6946ede51a7a1881a94901eb74b6c134ee435b","10","lld","observed_peak_working_set_bytes","1","0","184193024","184193024",,"1","184193024",,"184193024","184193024","184193024"
"shipping-release","preparation","cargo",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,"914e490657920fadfb7089b77c6946ede51a7a1881a94901eb74b6c134ee435b","10","lld","read_bytes","1","0","943738770","943738770",,"1","943738770",,"943738770","943738770","943738770"
"shipping-release","preparation","cargo",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,"914e490657920fadfb7089b77c6946ede51a7a1881a94901eb74b6c134ee435b","10","lld","write_bytes","1","0","4412379330","4412379330",,"1","4412379330",,"4412379330","4412379330","4412379330"
"shipping-release","preparation","cargo",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,"914e490657920fadfb7089b77c6946ede51a7a1881a94901eb74b6c134ee435b","10","lld","tree_page_faults","1","0","49815144","49815144",,"1","49815144",,"49815144","49815144","49815144"
"shipping-release","preparation","cargo",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,"914e490657920fadfb7089b77c6946ede51a7a1881a94901eb74b6c134ee435b","10","lld","exe_bytes","1","0","114967040","114967040",,"1","114967040",,"114967040","114967040","114967040"
"shipping-release","preparation","cargo",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,"914e490657920fadfb7089b77c6946ede51a7a1881a94901eb74b6c134ee435b","10","lld","pdb_bytes","1","0","131100672","131100672",,"1","131100672",,"131100672","131100672","131100672"
"shipping-release","replay","linker","edc69408b4b4669750cbfc0d0d7a7c73a80d4c1b1998965abaabddb19f92a129","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0","914e490657920fadfb7089b77c6946ede51a7a1881a94901eb74b6c134ee435b","10","msvc","wall_s","1","0","1,2687264","1,2687264",,"1","1,2687264",,"1,2687264","1,2687264","1,2687264"
"shipping-release","replay","linker","edc69408b4b4669750cbfc0d0d7a7c73a80d4c1b1998965abaabddb19f92a129","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0","914e490657920fadfb7089b77c6946ede51a7a1881a94901eb74b6c134ee435b","10","msvc","tree_cpu_s","1","0","1,6875","1,6875",,"1","1,6875",,"1,6875","1,6875","1,6875"
"shipping-release","replay","linker","edc69408b4b4669750cbfc0d0d7a7c73a80d4c1b1998965abaabddb19f92a129","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0","914e490657920fadfb7089b77c6946ede51a7a1881a94901eb74b6c134ee435b","10","msvc","peak_tree_commit_bytes","1","0","777949184","777949184",,"1","777949184",,"777949184","777949184","777949184"
"shipping-release","replay","linker","edc69408b4b4669750cbfc0d0d7a7c73a80d4c1b1998965abaabddb19f92a129","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0","914e490657920fadfb7089b77c6946ede51a7a1881a94901eb74b6c134ee435b","10","msvc","observed_peak_working_set_bytes","1","0","877195264","877195264",,"1","877195264",,"877195264","877195264","877195264"
"shipping-release","replay","linker","edc69408b4b4669750cbfc0d0d7a7c73a80d4c1b1998965abaabddb19f92a129","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0","914e490657920fadfb7089b77c6946ede51a7a1881a94901eb74b6c134ee435b","10","msvc","read_bytes","1","0","327900739","327900739",,"1","327900739",,"327900739","327900739","327900739"
"shipping-release","replay","linker","edc69408b4b4669750cbfc0d0d7a7c73a80d4c1b1998965abaabddb19f92a129","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0","914e490657920fadfb7089b77c6946ede51a7a1881a94901eb74b6c134ee435b","10","msvc","write_bytes","1","0","130258732","130258732",,"1","130258732",,"130258732","130258732","130258732"
"shipping-release","replay","linker","edc69408b4b4669750cbfc0d0d7a7c73a80d4c1b1998965abaabddb19f92a129","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0","914e490657920fadfb7089b77c6946ede51a7a1881a94901eb74b6c134ee435b","10","msvc","tree_page_faults","1","0","433371","433371",,"1","433371",,"433371","433371","433371"
"shipping-release","replay","linker","edc69408b4b4669750cbfc0d0d7a7c73a80d4c1b1998965abaabddb19f92a129","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0","914e490657920fadfb7089b77c6946ede51a7a1881a94901eb74b6c134ee435b","10","msvc","exe_bytes","1","0","114972160","114972160",,"1","114972160",,"114972160","114972160","114972160"
"shipping-release","replay","linker","edc69408b4b4669750cbfc0d0d7a7c73a80d4c1b1998965abaabddb19f92a129","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0","914e490657920fadfb7089b77c6946ede51a7a1881a94901eb74b6c134ee435b","10","msvc","pdb_bytes","1","0","130969600","130969600",,"1","130969600",,"130969600","130969600","130969600"
"shipping-release","replay","linker","edc69408b4b4669750cbfc0d0d7a7c73a80d4c1b1998965abaabddb19f92a129","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0","914e490657920fadfb7089b77c6946ede51a7a1881a94901eb74b6c134ee435b","10","lld","wall_s","1","0","0,9975924","0,9975924",,"1","0,9975924",,"0,9975924","0,9975924","0,9975924"
