"run_id","invocation_id","parent_build_id","pair_id","order","profile","scenario","scope","linker","fixture_sha256","source_sha256","cache_policy","output_state","diagnostic_mode","sample_ms","lld_threads","warmup","collector_sha256","post_exit_grace_ms","application_link","capture","exit_code","valid","wall_s","tree_wall_s","cpu_user_s","cpu_kernel_s","tree_cpu_s","average_logical_cpus","peak_tree_commit_bytes","observed_peak_working_set_bytes","tree_page_faults","observed_peak_threads","tree_process_count","read_bytes","write_bytes","read_operations","write_operations","exe_bytes","pdb_bytes","estimated_other_cpu_s","warning_count","started_unix_ms","command_sha256","metrics_path"
"dev-preparation-lld-20260913T201251871-dbdab6c2","1789330373769949000-30668","dev-preparation-lld-20260913T201251871-dbdab6c2",,,"dev","preparation","linker","lld",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,"False",,,"False","False","0","True","0,1749306","0,1801785","0,046875","0,078125","0,125","0,6937564692790761","14680064","8884224","10183","1","2","43138","0","10","0",,,"5,875",,"1789330373776","cb1dc0aac271f0f36fe02ecbb846a3d5c40b6d6056626828224b219b3be6728d","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-preparation-lld-20260913T201251871-dbdab6c2\links\1789330373769949000-30668\metrics.json"
"dev-preparation-lld-20260913T201251871-dbdab6c2","1789330373792259700-24512","dev-preparation-lld-20260913T201251871-dbdab6c2",,,"dev","preparation","linker","lld",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,"False",,,"False","False","0","True","0,1909904","0,2883148","0,09375","0,09375","0,1875","0,6503308189520621","13578240","28639232","9541","1","2","43130","0","10","0",,,"9,015625",,"1789330373795","97f447edeb99ce3c5f1fd67a66ce5b1369c2b06cfec4cf514563f152bc5ac74b","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-preparation-lld-20260913T201251871-dbdab6c2\links\1789330373792259700-24512\metrics.json"
"dev-preparation-lld-20260913T201251871-dbdab6c2","1789330373837742900-9852","dev-preparation-lld-20260913T201251871-dbdab6c2",,,"dev","preparation","linker","lld",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,"False",,,"False","False","0","True","0,2015551","0,2609783","0,0625","0,03125","0,109375","0,419096147074297","13938688","28119040","9970","38","2","43130","0","10","0",,,"8,28125",,"1789330373840","3a6be724c1033e14a33cb4e2856627fef6571a7c7c58a5283931aa1cf7ec9004","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-preparation-lld-20260913T201251871-dbdab6c2\links\1789330373837742900-9852\metrics.json"
"dev-preparation-lld-20260913T201251871-dbdab6c2","1789330373850119400-29964","dev-preparation-lld-20260913T201251871-dbdab6c2",,,"dev","preparation","linker","lld",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,"False",,,"False","False","0","True","0,1802719","0,2591109","0,03125","0,046875","0,09375","0,3618141884420918","13348864","28803072","9343","1","2","43146","0","10","0",,,"8,484375",,"1789330373854","1f7526c4712e67a66e3b36fb89a0a0db796a8be1f3a3d6e9a496cbd4e09bf615","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-preparation-lld-20260913T201251871-dbdab6c2\links\1789330373850119400-29964\metrics.json"
"dev-preparation-lld-20260913T201251871-dbdab6c2","1789330373857185500-22332","dev-preparation-lld-20260913T201251871-dbdab6c2",,,"dev","preparation","linker","lld",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,"False",,,"False","False","0","True","0,1851584","0,2571167","0,046875","0,0625","0,140625","0,5469306349995936","14893056","31563776","10198","1","2","43134","0","10","0",,,"8,359375",,"1789330373864","9edb5fe90536f4fc17d0039a89b8353064191475847f0e8d8a919729bc0e9480","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-preparation-lld-20260913T201251871-dbdab6c2\links\1789330373857185500-22332\metrics.json"
"dev-preparation-lld-20260913T201251871-dbdab6c2","1789330373925167500-22472","dev-preparation-lld-20260913T201251871-dbdab6c2",,,"dev","preparation","linker","lld",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,"False",,,"False","False","0","True","0,2166723","0,2808515","0,0625","0,0625","0,140625","0,500709449655779","14266368","25501696","9784","40","2","43142","0","10","0",,,"9,328125",,"1789330373935","5beaf47b003e99902c891ff19b5780a2bc3f80b55db9fe33c9a9a21c269cc2e3","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-preparation-lld-20260913T201251871-dbdab6c2\links\1789330373925167500-22472\metrics.json"
"dev-preparation-lld-20260913T201251871-dbdab6c2","1789330374043528900-11088","dev-preparation-lld-20260913T201251871-dbdab6c2",,,"dev","preparation","linker","lld",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,"False",,,"False","False","0","True","0,1842715","0,267372","0,109375","0,078125","0,171875","0,6428309621052317","13778944","27979776","9894","8","2","43126","0","10","0",,,"8,3125",,"1789330374046","d7fb29c968da81442c3774c2ce656eaa889370a6821bfebac5305787098fd317","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-preparation-lld-20260913T201251871-dbdab6c2\links\1789330374043528900-11088\metrics.json"
"dev-preparation-lld-20260913T201251871-dbdab6c2","1789330374097572400-5704","dev-preparation-lld-20260913T201251871-dbdab6c2",,,"dev","preparation","linker","lld",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,"False",,,"False","False","0","True","0,1863367","0,2778137","0,21875","0,15625","0,375","1,349825440574025","14430208","30859264","9872","1","2","43138","0","10","0",,,"8,609375",,"1789330374100","74aee9216427d0781801bc623d5f10698df1219ba7ff5aef143f164f5081d6db","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-preparation-lld-20260913T201251871-dbdab6c2\links\1789330374097572400-5704\metrics.json"
"dev-preparation-lld-20260913T201251871-dbdab6c2","1789330374107411900-20312","dev-preparation-lld-20260913T201251871-dbdab6c2",,,"dev","preparation","linker","lld",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,"False",,,"False","False","0","True","0,1798329","0,2793146","0,078125","0,03125","0,125","0,4475240463620591","15011840","32722944","10536","1","2","43134","0","10","0",,,"9,015625",,"1789330374119","2e7b460663bdbb4d1ec6d82485a2d76935a987f0c876a65f954c26136640dbab","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-preparation-lld-20260913T201251871-dbdab6c2\links\1789330374107411900-20312\metrics.json"
"dev-preparation-lld-20260913T201251871-dbdab6c2","1789330374132004500-30964","dev-preparation-lld-20260913T201251871-dbdab6c2",,,"dev","preparation","linker","lld",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,"False",,,"False","False","0","True","0,1730758","0,1754726","0,140625","0,03125","0,1875","1,068542895016088","14426112","8884224","9938","1","2","43126","0","10","0",,,"5,796875",,"1789330374135","711c1daf57abe517f34ac4832dcfe399d1b77c58a21e4b7a47e0a50487105343","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-preparation-lld-20260913T201251871-dbdab6c2\links\1789330374132004500-30964\metrics.json"
